value,timestamp
232.025,2018-02-05T20:09:37.000Z
231.958,2018-02-05T20:09:41.000Z
232.099,2018-02-05T20:09:48.000Z
232.110,2018-02-05T20:09:52.000Z
232.119,2018-02-05T20:09:59.000Z
231.990,2018-02-05T20:10:06.000Z
231.713,2018-02-05T20:10:10.000Z
231.725,2018-02-05T20:10:17.000Z
231.871,2018-02-05T20:10:21.000Z
231.836,2018-02-05T20:10:25.000Z
232.032,2018-02-05T20:10:28.000Z
232.179,2018-02-05T20:10:32.000Z
232.199,2018-02-05T20:10:36.000Z
232.293,2018-02-05T20:10:39.000Z
232.291,2018-02-05T20:10:43.000Z
232.251,2018-02-05T20:10:47.000Z
232.221,2018-02-05T20:10:50.000Z
231.999,2018-02-05T20:11:01.000Z
231.966,2018-02-05T20:11:09.000Z
227.857,2018-02-05T20:11:23.000Z
228.042,2018-02-05T20:11:27.000Z
228.049,2018-02-05T20:11:31.000Z
227.976,2018-02-05T20:11:34.000Z
227.989,2018-02-05T20:11:38.000Z
227.957,2018-02-05T20:11:42.000Z
227.977,2018-02-05T20:11:49.000Z
227.754,2018-02-05T20:11:53.000Z
227.514,2018-02-05T20:12:00.000Z
227.545,2018-02-05T20:12:04.000Z
227.936,2018-02-05T20:12:26.000Z
228.000,2018-02-05T20:12:33.000Z
227.896,2018-02-05T20:12:37.000Z
228.129,2018-02-05T20:12:51.000Z
228.097,2018-02-05T20:12:55.000Z
227.961,2018-02-05T20:12:58.000Z
227.734,2018-02-05T20:13:02.000Z
227.806,2018-02-05T20:13:09.000Z
228.041,2018-02-05T20:13:13.000Z
227.937,2018-02-05T20:13:20.000Z
228.044,2018-02-05T20:13:24.000Z
227.849,2018-02-05T20:13:31.000Z
227.900,2018-02-05T20:13:35.000Z
228.112,2018-02-05T20:13:46.000Z
227.705,2018-02-05T20:14:01.000Z
227.764,2018-02-05T20:14:08.000Z
228.023,2018-02-05T20:14:19.000Z
227.929,2018-02-05T20:14:26.000Z
228.015,2018-02-05T20:14:30.000Z
227.866,2018-02-05T20:14:37.000Z
227.783,2018-02-05T20:14:41.000Z
227.661,2018-02-05T20:14:45.000Z
227.855,2018-02-05T20:14:48.000Z
228.081,2018-02-05T20:14:56.000Z
228.167,2018-02-05T20:14:59.000Z
232.480,2018-02-05T20:15:03.000Z
232.476,2018-02-05T20:15:07.000Z
231.980,2018-02-05T20:15:21.000Z
232.281,2018-02-05T20:15:32.000Z
232.452,2018-02-05T20:15:43.000Z
232.270,2018-02-05T20:15:47.000Z
232.181,2018-02-05T20:15:51.000Z
232.184,2018-02-05T20:15:54.000Z
232.258,2018-02-05T20:16:02.000Z
232.449,2018-02-05T20:16:16.000Z
232.374,2018-02-05T20:16:24.000Z
232.244,2018-02-05T20:16:27.000Z
232.072,2018-02-05T20:16:31.000Z
231.727,2018-02-05T20:16:35.000Z
231.649,2018-02-05T20:16:38.000Z
231.905,2018-02-05T20:16:46.000Z
231.936,2018-02-05T20:16:49.000Z
232.005,2018-02-05T20:16:53.000Z
232.089,2018-02-05T20:16:57.000Z
232.172,2018-02-05T20:17:00.000Z
232.358,2018-02-05T20:17:04.000Z
232.484,2018-02-05T20:17:18.000Z
232.586,2018-02-05T20:17:22.000Z
232.468,2018-02-05T20:17:26.000Z
232.416,2018-02-05T20:17:29.000Z
232.560,2018-02-05T20:17:37.000Z
232.519,2018-02-05T20:17:40.000Z
232.502,2018-02-05T20:17:44.000Z
232.490,2018-02-05T20:17:48.000Z
232.408,2018-02-05T20:17:51.000Z
232.357,2018-02-05T20:17:55.000Z
232.090,2018-02-05T20:18:06.000Z
232.044,2018-02-05T20:18:10.000Z
231.944,2018-02-05T20:18:21.000Z
231.943,2018-02-05T20:18:28.000Z
232.102,2018-02-05T20:18:35.000Z
232.403,2018-02-05T20:18:43.000Z
232.397,2018-02-05T20:18:54.000Z
232.326,2018-02-05T20:18:57.000Z
232.173,2018-02-05T20:19:05.000Z
232.166,2018-02-05T20:19:16.000Z
232.248,2018-02-05T20:19:19.000Z
232.183,2018-02-05T20:19:23.000Z
232.242,2018-02-05T20:19:30.000Z
232.182,2018-02-05T20:19:34.000Z
232.219,2018-02-05T20:19:38.000Z
232.119,2018-02-05T20:19:41.000Z
232.199,2018-02-05T20:19:45.000Z
232.567,2018-02-05T20:19:56.000Z
232.372,2018-02-05T20:20:00.000Z
231.895,2018-02-05T20:20:07.000Z
231.995,2018-02-05T20:20:11.000Z
232.074,2018-02-05T20:20:18.000Z
232.211,2018-02-05T20:20:25.000Z
232.145,2018-02-05T20:20:33.000Z
232.057,2018-02-05T20:20:36.000Z
232.047,2018-02-05T20:20:40.000Z
232.177,2018-02-05T20:20:51.000Z
232.240,2018-02-05T20:20:55.000Z
232.518,2018-02-05T20:20:58.000Z
232.751,2018-02-05T20:21:02.000Z
232.799,2018-02-05T20:21:05.000Z
232.717,2018-02-05T20:21:09.000Z
231.754,2018-02-05T20:26:29.000Z
231.741,2018-02-05T20:26:37.000Z
231.666,2018-02-05T20:26:48.000Z
231.444,2018-02-05T20:26:51.000Z
231.411,2018-02-05T20:26:59.000Z
231.380,2018-02-05T20:27:06.000Z
230.953,2018-02-05T20:27:10.000Z
231.075,2018-02-05T20:27:17.000Z
231.564,2018-02-05T20:27:21.000Z
231.766,2018-02-05T20:27:32.000Z
231.542,2018-02-05T20:27:43.000Z
231.616,2018-02-05T20:27:46.000Z
231.873,2018-02-05T20:27:54.000Z
231.750,2018-02-05T20:28:01.000Z
231.679,2018-02-05T20:28:05.000Z
231.531,2018-02-05T20:28:08.000Z
231.179,2018-02-05T20:28:23.000Z
231.295,2018-02-05T20:28:27.000Z
231.223,2018-02-05T20:28:34.000Z
230.743,2018-02-05T20:28:38.000Z
230.753,2018-02-05T20:28:41.000Z
230.855,2018-02-05T20:28:49.000Z
231.612,2018-02-05T20:29:18.000Z
231.467,2018-02-05T20:29:22.000Z
231.146,2018-02-05T20:29:29.000Z
230.775,2018-02-05T20:29:33.000Z
231.095,2018-02-05T20:29:40.000Z
230.918,2018-02-05T20:29:44.000Z
230.871,2018-02-05T20:29:55.000Z
230.857,2018-02-05T20:29:58.000Z
231.150,2018-02-05T20:30:02.000Z
231.284,2018-02-05T20:30:06.000Z
231.149,2018-02-05T20:30:24.000Z
230.814,2018-02-05T20:30:31.000Z
231.564,2018-02-05T20:30:38.000Z
231.616,2018-02-05T20:30:49.000Z
231.440,2018-02-05T20:30:53.000Z
231.255,2018-02-05T20:30:57.000Z
231.194,2018-02-05T20:31:04.000Z
231.214,2018-02-05T20:31:08.000Z
231.192,2018-02-05T20:31:11.000Z
231.372,2018-02-05T20:31:19.000Z
231.461,2018-02-05T20:31:22.000Z
231.015,2018-02-05T20:31:37.000Z
230.962,2018-02-05T20:31:41.000Z
230.701,2018-02-05T20:31:52.000Z
230.961,2018-02-05T20:31:59.000Z
231.314,2018-02-05T20:32:03.000Z
231.385,2018-02-05T20:32:10.000Z
231.342,2018-02-05T20:32:21.000Z
231.457,2018-02-05T20:32:28.000Z
231.476,2018-02-05T20:32:32.000Z
231.311,2018-02-05T20:32:39.000Z
231.608,2018-02-05T20:32:46.000Z
231.421,2018-02-05T20:32:54.000Z
231.423,2018-02-05T20:32:57.000Z
231.203,2018-02-05T20:33:01.000Z
231.162,2018-02-05T20:33:08.000Z
230.819,2018-02-05T20:33:12.000Z
230.884,2018-02-05T20:33:16.000Z
