value,timestamp
" 0.011",2018-03-06T00:37:29.000Z
" 0.011",2018-03-06T00:37:40.000Z
" 0.011",2018-03-06T00:37:44.000Z
" 0.011",2018-03-06T00:37:51.000Z
" 0.011",2018-03-06T00:37:55.000Z
" 0.011",2018-03-06T00:37:59.000Z
" 0.011",2018-03-06T00:38:02.000Z
" 0.011",2018-03-06T00:38:06.000Z
" 0.011",2018-03-06T00:38:17.000Z
" 0.011",2018-03-06T00:38:28.000Z
" 0.011",2018-03-06T00:38:35.000Z
" 0.011",2018-03-06T00:38:39.000Z
" 0.011",2018-03-06T00:38:43.000Z
" 0.011",2018-03-06T00:38:54.000Z
" 0.011",2018-03-06T00:39:16.000Z
" 0.011",2018-03-06T00:39:30.000Z
" 0.011",2018-03-06T00:39:34.000Z
" 0.011",2018-03-06T00:39:41.000Z
" 0.011",2018-03-06T00:39:49.000Z
" 0.011",2018-03-06T00:39:52.000Z
" 0.011",2018-03-06T00:40:03.000Z
" 0.011",2018-03-06T00:40:07.000Z
" 0.011",2018-03-06T00:40:14.000Z
" 0.011",2018-03-06T00:40:18.000Z
" 0.011",2018-03-06T00:40:22.000Z
" 0.011",2018-03-06T00:40:29.000Z
" 0.011",2018-03-06T00:40:36.000Z
" 0.011",2018-03-06T00:40:47.000Z
" 0.011",2018-03-06T00:40:51.000Z
" 0.011",2018-03-06T00:40:55.000Z
" 0.011",2018-03-06T00:40:58.000Z
" 0.011",2018-03-06T00:41:09.000Z
" 0.011",2018-03-06T00:41:17.000Z
" 0.011",2018-03-06T00:41:24.000Z
" 0.011",2018-03-06T00:41:50.000Z
" 0.011",2018-03-06T00:42:12.000Z
" 0.011",2018-03-06T00:42:15.000Z
" 0.011",2018-03-06T00:42:19.000Z
" 0.011",2018-03-06T00:42:45.000Z
" 0.011",2018-03-06T00:42:52.000Z
" 0.011",2018-03-06T00:42:56.000Z
" 0.011",2018-03-06T00:43:03.000Z
" 0.011",2018-03-06T00:43:07.000Z
" 0.011",2018-03-06T00:43:10.000Z
" 0.011",2018-03-06T00:43:14.000Z
" 0.011",2018-03-06T00:43:21.000Z
" 0.011",2018-03-06T00:43:25.000Z
" 0.011",2018-03-06T00:43:29.000Z
" 0.011",2018-03-06T00:43:33.000Z
" 0.011",2018-03-06T00:43:36.000Z
" 0.011",2018-03-06T00:43:40.000Z
" 0.011",2018-03-06T00:43:47.000Z
" 0.011",2018-03-06T00:43:51.000Z
" 0.011",2018-03-06T00:43:58.000Z
" 0.011",2018-03-06T00:44:06.000Z
