value,timestamp
" 0.000",2018-03-06T00:37:29.000Z
" 0.000",2018-03-06T00:37:33.000Z
" 0.000",2018-03-06T00:37:37.000Z
" 0.000",2018-03-06T00:37:40.000Z
" 0.000",2018-03-06T00:37:44.000Z
" 0.000",2018-03-06T00:37:48.000Z
" 0.000",2018-03-06T00:37:51.000Z
" 0.000",2018-03-06T00:37:55.000Z
" 0.001",2018-03-06T00:37:59.000Z
" 0.001",2018-03-06T00:38:02.000Z
" 0.001",2018-03-06T00:38:06.000Z
" 0.001",2018-03-06T00:38:10.000Z
" 0.001",2018-03-06T00:38:13.000Z
" 0.001",2018-03-06T00:38:17.000Z
" 0.001",2018-03-06T00:38:21.000Z
" 0.001",2018-03-06T00:38:24.000Z
" 0.001",2018-03-06T00:38:28.000Z
" 0.001",2018-03-06T00:38:32.000Z
" 0.002",2018-03-06T00:38:35.000Z
" 0.002",2018-03-06T00:38:39.000Z
" 0.002",2018-03-06T00:38:43.000Z
" 0.002",2018-03-06T00:38:46.000Z
" 0.002",2018-03-06T00:38:50.000Z
" 0.002",2018-03-06T00:38:54.000Z
" 0.002",2018-03-06T00:38:57.000Z
" 0.002",2018-03-06T00:39:01.000Z
" 0.002",2018-03-06T00:39:05.000Z
" 0.002",2018-03-06T00:39:08.000Z
" 0.003",2018-03-06T00:39:12.000Z
" 0.003",2018-03-06T00:39:16.000Z
" 0.003",2018-03-06T00:39:19.000Z
" 0.003",2018-03-06T00:39:23.000Z
" 0.003",2018-03-06T00:39:27.000Z
" 0.003",2018-03-06T00:39:30.000Z
" 0.003",2018-03-06T00:39:34.000Z
" 0.003",2018-03-06T00:39:38.000Z
" 0.003",2018-03-06T00:39:41.000Z
" 0.003",2018-03-06T00:39:45.000Z
" 0.004",2018-03-06T00:39:49.000Z
" 0.004",2018-03-06T00:39:52.000Z
" 0.004",2018-03-06T00:39:56.000Z
" 0.004",2018-03-06T00:40:00.000Z
" 0.004",2018-03-06T00:40:03.000Z
" 0.004",2018-03-06T00:40:07.000Z
" 0.004",2018-03-06T00:40:11.000Z
" 0.004",2018-03-06T00:40:14.000Z
" 0.004",2018-03-06T00:40:22.000Z
" 0.004",2018-03-06T00:40:18.000Z
" 0.005",2018-03-06T00:40:25.000Z
" 0.005",2018-03-06T00:40:29.000Z
" 0.005",2018-03-06T00:40:33.000Z
" 0.005",2018-03-06T00:40:36.000Z
" 0.005",2018-03-06T00:40:40.000Z
" 0.005",2018-03-06T00:40:44.000Z
" 0.005",2018-03-06T00:40:47.000Z
" 0.005",2018-03-06T00:40:51.000Z
" 0.005",2018-03-06T00:40:55.000Z
" 0.005",2018-03-06T00:40:58.000Z
" 0.005",2018-03-06T00:41:02.000Z
" 0.006",2018-03-06T00:41:06.000Z
" 0.006",2018-03-06T00:41:09.000Z
" 0.006",2018-03-06T00:41:13.000Z
" 0.006",2018-03-06T00:41:17.000Z
" 0.006",2018-03-06T00:41:20.000Z
" 0.006",2018-03-06T00:41:24.000Z
" 0.006",2018-03-06T00:41:28.000Z
" 0.006",2018-03-06T00:41:31.000Z
" 0.006",2018-03-06T00:41:35.000Z
" 0.007",2018-03-06T00:41:39.000Z
" 0.007",2018-03-06T00:41:42.000Z
" 0.007",2018-03-06T00:41:46.000Z
" 0.007",2018-03-06T00:41:50.000Z
" 0.007",2018-03-06T00:41:53.000Z
" 0.007",2018-03-06T00:41:57.000Z
" 0.007",2018-03-06T00:42:01.000Z
" 0.007",2018-03-06T00:42:04.000Z
" 0.007",2018-03-06T00:42:08.000Z
" 0.007",2018-03-06T00:42:12.000Z
