value,timestamp
217.544,2018-03-06T00:37:40.000Z
217.370,2018-03-06T00:38:17.000Z
217.036,2018-03-06T00:38:39.000Z
218.238,2018-03-06T00:39:16.000Z
218.047,2018-03-06T00:39:49.000Z
218.286,2018-03-06T00:39:52.000Z
218.521,2018-03-06T00:40:07.000Z
218.669,2018-03-06T00:40:14.000Z
217.676,2018-03-06T00:40:51.000Z
217.285,2018-03-06T00:41:09.000Z
217.424,2018-03-06T00:41:24.000Z
216.409,2018-03-06T00:41:46.000Z
216.595,2018-03-06T00:41:57.000Z
216.536,2018-03-06T00:42:12.000Z
216.184,2018-03-06T00:42:15.000Z
216.390,2018-03-06T00:42:19.000Z
216.475,2018-03-06T00:42:52.000Z
216.511,2018-03-06T00:42:56.000Z
216.463,2018-03-06T00:42:59.000Z
216.496,2018-03-06T00:43:21.000Z
216.443,2018-03-06T00:43:25.000Z
216.511,2018-03-06T00:43:29.000Z
216.565,2018-03-06T00:43:33.000Z
217.330,2018-03-06T00:43:40.000Z
217.076,2018-03-06T00:43:47.000Z
217.670,2018-03-06T00:44:09.000Z
217.391,2018-03-06T00:44:17.000Z
217.479,2018-03-06T00:44:35.000Z
217.672,2018-03-06T00:44:39.000Z
217.475,2018-03-06T00:44:46.000Z
217.493,2018-03-06T00:44:53.000Z
217.622,2018-03-06T00:45:01.000Z
217.903,2018-03-06T00:45:12.000Z
217.792,2018-03-06T00:45:16.000Z
217.484,2018-03-06T00:45:23.000Z
217.659,2018-03-06T00:45:41.000Z
218.693,2018-03-06T00:45:45.000Z
218.523,2018-03-06T00:45:49.000Z
218.701,2018-03-06T00:45:52.000Z
218.858,2018-03-06T00:46:03.000Z
218.977,2018-03-06T00:46:07.000Z
218.939,2018-03-06T00:46:22.000Z
218.630,2018-03-06T00:46:29.000Z
218.760,2018-03-06T00:46:33.000Z
218.896,2018-03-06T00:46:44.000Z
218.948,2018-03-06T00:47:57.000Z
219.414,2018-03-06T00:48:08.000Z
219.197,2018-03-06T00:48:15.000Z
219.590,2018-03-06T00:48:22.000Z
219.517,2018-03-06T00:48:30.000Z
219.969,2018-03-06T00:49:06.000Z
220.149,2018-03-06T00:49:14.000Z
220.274,2018-03-06T00:49:17.000Z
219.442,2018-03-06T00:49:28.000Z
218.853,2018-03-06T00:49:50.000Z
219.309,2018-03-06T00:50:12.000Z
219.564,2018-03-06T00:50:23.000Z
219.229,2018-03-06T00:50:31.000Z
219.537,2018-03-06T00:50:49.000Z
219.946,2018-03-06T00:50:56.000Z
218.913,2018-03-06T00:51:22.000Z
220.509,2018-03-06T00:51:40.000Z
220.491,2018-03-06T00:51:48.000Z
220.435,2018-03-06T00:52:13.000Z
220.357,2018-03-06T00:52:17.000Z
220.332,2018-03-06T00:52:24.000Z
220.760,2018-03-06T00:52:50.000Z
220.735,2018-03-06T00:52:54.000Z
220.653,2018-03-06T00:53:01.000Z
220.439,2018-03-06T00:53:05.000Z
220.771,2018-03-06T00:53:16.000Z
220.845,2018-03-06T00:53:30.000Z
220.630,2018-03-06T00:53:38.000Z
221.491,2018-03-06T00:53:52.000Z
221.633,2018-03-06T00:54:18.000Z
220.983,2018-03-06T00:54:44.000Z
221.659,2018-03-06T00:54:55.000Z
221.537,2018-03-06T00:55:13.000Z
221.390,2018-03-06T00:55:20.000Z
221.606,2018-03-06T00:55:27.000Z
221.545,2018-03-06T00:55:35.000Z
221.387,2018-03-06T00:55:49.000Z
220.898,2018-03-06T00:56:15.000Z
220.996,2018-03-06T00:56:48.000Z
220.734,2018-03-06T00:56:59.000Z
221.117,2018-03-06T00:57:25.000Z
221.323,2018-03-06T00:57:54.000Z
221.262,2018-03-06T00:57:58.000Z
219.988,2018-03-06T00:58:27.000Z
219.710,2018-03-06T00:58:31.000Z
220.473,2018-03-06T00:59:44.000Z
220.495,2018-03-06T00:59:51.000Z
220.555,2018-03-06T00:59:59.000Z
220.193,2018-03-06T01:00:21.000Z
220.476,2018-03-06T01:00:39.000Z
219.733,2018-03-06T01:01:12.000Z
219.014,2018-03-06T01:01:27.000Z
219.128,2018-03-06T01:01:52.000Z
219.134,2018-03-06T01:01:56.000Z
219.212,2018-03-06T01:02:07.000Z
218.774,2018-03-06T01:02:14.000Z
218.682,2018-03-06T01:02:18.000Z
218.921,2018-03-06T01:02:29.000Z
218.956,2018-03-06T01:02:44.000Z
218.859,2018-03-06T01:02:51.000Z
218.689,2018-03-06T01:02:58.000Z
219.034,2018-03-06T01:03:02.000Z
219.303,2018-03-06T01:03:17.000Z
219.096,2018-03-06T01:03:20.000Z
219.633,2018-03-06T01:04:08.000Z
219.491,2018-03-06T01:04:23.000Z
218.664,2018-03-06T01:04:26.000Z
218.743,2018-03-06T01:04:34.000Z
219.151,2018-03-06T01:04:45.000Z
219.155,2018-03-06T01:04:52.000Z
219.313,2018-03-06T01:05:03.000Z
219.239,2018-03-06T01:05:10.000Z
219.283,2018-03-06T01:05:14.000Z
219.704,2018-03-06T01:05:18.000Z
219.607,2018-03-06T01:05:29.000Z
219.366,2018-03-06T01:05:40.000Z
219.881,2018-03-06T01:05:43.000Z
220.200,2018-03-06T01:06:02.000Z
220.205,2018-03-06T01:06:05.000Z
219.029,2018-03-06T01:06:23.000Z
218.777,2018-03-06T01:06:34.000Z
218.885,2018-03-06T01:06:42.000Z
219.007,2018-03-06T01:06:46.000Z
218.975,2018-03-06T01:07:00.000Z
218.421,2018-03-06T01:07:18.000Z
217.687,2018-03-06T01:07:26.000Z
218.294,2018-03-06T01:07:33.000Z
218.267,2018-03-06T01:07:51.000Z
218.566,2018-03-06T01:07:59.000Z
218.999,2018-03-06T01:08:10.000Z
218.477,2018-03-06T01:08:17.000Z
