id_attribute,value,timestamp
3316,234.328,2018-02-01T18:00:05.000Z
3317," 0.003",2018-02-01T18:00:05.000Z
3329," 0.500",2018-02-01T18:00:05.000Z
3331," 0.000",2018-02-01T18:00:05.000Z
3319,"  20.0",2018-02-01T18:00:05.000Z
3317," 0.003",2018-02-01T18:00:08.000Z
33282," 5.859",2018-02-01T18:00:05.000Z
3329," 1.000",2018-02-01T18:00:08.000Z
33281," 2.930",2018-02-01T18:00:05.000Z
3319,"  20.0",2018-02-01T18:00:08.000Z
3317," 0.004",2018-02-01T18:00:12.000Z
33281," 2.930",2018-02-01T18:00:12.000Z
33282," 5.859",2018-02-01T18:00:12.000Z
33283," 0.000",2018-02-01T18:00:12.000Z
33282," 5.859",2018-02-01T18:00:08.000Z
3331," 0.000",2018-02-01T18:00:08.000Z
3331," 0.000",2018-02-01T18:00:12.000Z
3319,"  20.0",2018-02-01T18:00:12.000Z
3316,234.130,2018-02-01T18:00:16.000Z
3317," 0.004",2018-02-01T18:00:16.000Z
33281," 2.930",2018-02-01T18:00:16.000Z
33282," 2.930",2018-02-01T18:00:16.000Z
33283," 0.000",2018-02-01T18:00:16.000Z
3331," 0.000",2018-02-01T18:00:16.000Z
3319,"  20.0",2018-02-01T18:00:16.000Z
3318,49.925,2018-02-01T18:00:12.000Z
3317," 0.003",2018-02-01T18:00:19.000Z
33281," 0.000",2018-02-01T18:00:19.000Z
33282," 2.930",2018-02-01T18:00:19.000Z
3316,234.532,2018-02-01T18:00:19.000Z
3318,49.930,2018-02-01T18:00:19.000Z
3329," 1.000",2018-02-01T18:00:19.000Z
3331," 0.000",2018-02-01T18:00:19.000Z
3319,"  20.0",2018-02-01T18:00:19.000Z
3329," 0.500",2018-02-01T18:00:12.000Z
3317," 0.004",2018-02-01T18:00:23.000Z
33281," 2.930",2018-02-01T18:00:23.000Z
33283," 0.000",2018-02-01T18:00:19.000Z
3318,50.005,2018-02-01T18:00:23.000Z
3331," 0.001",2018-02-01T18:00:23.000Z
3319,"  20.0",2018-02-01T18:00:23.000Z
33281," 0.000",2018-02-01T18:00:08.000Z
33282," 2.930",2018-02-01T18:00:27.000Z
33283," 0.000",2018-02-01T18:00:27.000Z
3318,50.005,2018-02-01T18:00:27.000Z
3329," 1.000",2018-02-01T18:00:27.000Z
3316,234.513,2018-02-01T18:00:23.000Z
3319,"  20.0",2018-02-01T18:00:27.000Z
3329," 1.000",2018-02-01T18:00:23.000Z
3317," 0.004",2018-02-01T18:00:30.000Z
33281," 0.000",2018-02-01T18:00:27.000Z
3318,50.000,2018-02-01T18:00:30.000Z
3331," 0.001",2018-02-01T18:00:27.000Z
3316,234.082,2018-02-01T18:00:37.000Z
3319,"  20.0",2018-02-01T18:00:30.000Z
33281," 0.000",2018-02-01T18:00:37.000Z
33282," 5.859",2018-02-01T18:00:37.000Z
33283," 0.000",2018-02-01T18:00:37.000Z
3318,49.995,2018-02-01T18:00:37.000Z
3331," 0.001",2018-02-01T18:00:30.000Z
3317," 0.003",2018-02-01T18:00:37.000Z
3319,"  20.0",2018-02-01T18:00:37.000Z
33281," 2.930",2018-02-01T18:00:41.000Z
33282," 2.930",2018-02-01T18:00:41.000Z
33283," 0.000",2018-02-01T18:00:41.000Z
3318,49.925,2018-02-01T18:00:41.000Z
3329," 1.000",2018-02-01T18:00:41.000Z
3316,234.466,2018-02-01T18:00:30.000Z
3319,"  20.0",2018-02-01T18:00:41.000Z
3316,234.208,2018-02-01T18:00:44.000Z
3317," 0.004",2018-02-01T18:00:44.000Z
33281," 0.000",2018-02-01T18:00:44.000Z
33282," 2.930",2018-02-01T18:00:44.000Z
33283," 0.000",2018-02-01T18:00:44.000Z
3318,49.925,2018-02-01T18:00:44.000Z
3329," 1.000",2018-02-01T18:00:44.000Z
3331," 0.000",2018-02-01T18:00:44.000Z
3319,"  20.0",2018-02-01T18:00:44.000Z
3331," 0.000",2018-02-01T18:00:37.000Z
3329," 1.000",2018-02-01T18:00:37.000Z
33281," 2.930",2018-02-01T18:00:48.000Z
33282," 0.000",2018-02-01T18:00:48.000Z
33283," 0.000",2018-02-01T18:00:48.000Z
3329," 1.000",2018-02-01T18:00:48.000Z
3331," 0.000",2018-02-01T18:00:48.000Z
3319,"  20.0",2018-02-01T18:00:48.000Z
3318,49.925,2018-02-01T18:00:48.000Z
33283," 0.000",2018-02-01T18:00:52.000Z
3318,49.925,2018-02-01T18:00:52.000Z
3329," 0.500",2018-02-01T18:00:52.000Z
3331," 0.000",2018-02-01T18:00:52.000Z
3319,"  20.0",2018-02-01T18:00:52.000Z
3316,234.287,2018-02-01T18:00:55.000Z
3317," 0.004",2018-02-01T18:00:55.000Z
33281," 0.000",2018-02-01T18:00:55.000Z
33282," 5.859",2018-02-01T18:00:55.000Z
33283," 0.000",2018-02-01T18:00:55.000Z
3319,"  20.0",2018-02-01T18:00:55.000Z
33281," 2.930",2018-02-01T18:00:52.000Z
33282," 5.859",2018-02-01T18:00:52.000Z
3331," 0.000",2018-02-01T18:00:41.000Z
33282,292.969,2018-02-01T18:00:59.000Z
33283," 0.000",2018-02-01T18:00:59.000Z
3318,49.955,2018-02-01T18:00:59.000Z
3331," 0.001",2018-02-01T18:00:59.000Z
3319,"  20.0",2018-02-01T18:00:59.000Z
3329," 0.010",2018-02-01T18:00:59.000Z
3316,233.945,2018-02-01T18:01:03.000Z
33281," 2.930",2018-02-01T18:01:03.000Z
33283," 0.000",2018-02-01T18:01:03.000Z
3318,49.985,2018-02-01T18:01:03.000Z
3317," 0.003",2018-02-01T18:00:59.000Z
3331," 0.001",2018-02-01T18:01:03.000Z
3317," 0.003",2018-02-01T18:01:03.000Z
3316,233.960,2018-02-01T18:01:07.000Z
3317," 0.003",2018-02-01T18:01:07.000Z
33281," 0.000",2018-02-01T18:01:07.000Z
33282," 5.859",2018-02-01T18:01:07.000Z
33282," 5.859",2018-02-01T18:01:03.000Z
3329," 0.500",2018-02-01T18:01:03.000Z
3329," 1.000",2018-02-01T18:01:07.000Z
3318,49.925,2018-02-01T18:01:07.000Z
3319,"  20.0",2018-02-01T18:01:07.000Z
33283," 0.000",2018-02-01T18:01:07.000Z
33281," 2.930",2018-02-01T18:01:10.000Z
3319,"  20.0",2018-02-01T18:01:03.000Z
33283," 0.000",2018-02-01T18:01:10.000Z
3318,49.925,2018-02-01T18:01:10.000Z
3329," 0.500",2018-02-01T18:01:10.000Z
3331," 0.001",2018-02-01T18:01:10.000Z
3319,"  20.0",2018-02-01T18:01:10.000Z
33281," 2.930",2018-02-01T18:01:14.000Z
33282," 2.930",2018-02-01T18:01:14.000Z
33283," 0.000",2018-02-01T18:01:14.000Z
3318,49.925,2018-02-01T18:01:14.000Z
3329," 1.000",2018-02-01T18:01:14.000Z
3331," 0.001",2018-02-01T18:01:14.000Z
3319,"  20.0",2018-02-01T18:01:14.000Z
3316,234.557,2018-02-01T18:01:18.000Z
3317," 0.003",2018-02-01T18:01:18.000Z
33281," 0.000",2018-02-01T18:01:18.000Z
33282," 2.930",2018-02-01T18:01:18.000Z
3316,234.338,2018-02-01T18:01:10.000Z
3331," 0.001",2018-02-01T18:01:18.000Z
3319,"  20.0",2018-02-01T18:01:18.000Z
3317," 0.003",2018-02-01T18:01:10.000Z
33282," 5.859",2018-02-01T18:01:10.000Z
3329," 1.000",2018-02-01T18:01:18.000Z
3316,233.864,2018-02-01T18:05:11.000Z
