value,timestamp
"  20.0",2018-02-01T18:00:05.000Z
"  20.0",2018-02-01T18:00:08.000Z
"  20.0",2018-02-01T18:00:12.000Z
"  20.0",2018-02-01T18:00:16.000Z
"  20.0",2018-02-01T18:00:19.000Z
"  20.0",2018-02-01T18:00:23.000Z
"  20.0",2018-02-01T18:00:27.000Z
"  20.0",2018-02-01T18:00:30.000Z
"  20.0",2018-02-01T18:00:37.000Z
"  20.0",2018-02-01T18:00:41.000Z
"  20.0",2018-02-01T18:00:44.000Z
"  20.0",2018-02-01T18:00:48.000Z
"  20.0",2018-02-01T18:00:52.000Z
"  20.0",2018-02-01T18:00:55.000Z
"  20.0",2018-02-01T18:00:59.000Z
"  20.0",2018-02-01T18:01:07.000Z
"  20.0",2018-02-01T18:01:03.000Z
"  20.0",2018-02-01T18:01:10.000Z
"  20.0",2018-02-01T18:01:14.000Z
"  20.0",2018-02-01T18:01:18.000Z
"  20.0",2018-02-01T18:05:11.000Z
"  20.0",2018-02-01T18:05:14.000Z
"  20.0",2018-02-01T18:05:18.000Z
"  20.0",2018-02-01T18:05:22.000Z
"  20.0",2018-02-01T18:05:25.000Z
"  20.0",2018-02-01T18:05:29.000Z
"  20.0",2018-02-01T18:05:33.000Z
"  20.0",2018-02-01T18:05:36.000Z
"  20.0",2018-02-01T18:05:44.000Z
"  20.0",2018-02-01T18:05:47.000Z
"  20.0",2018-02-01T18:05:51.000Z
"  20.0",2018-02-01T18:05:55.000Z
"  20.0",2018-02-01T18:05:59.000Z
"  20.0",2018-02-01T18:06:02.000Z
"  20.0",2018-02-01T18:06:06.000Z
"  20.0",2018-02-01T18:06:13.000Z
"  20.0",2018-02-01T18:06:10.000Z
"  20.0",2018-02-01T18:06:17.000Z
"  20.0",2018-02-01T18:06:21.000Z
"  20.0",2018-02-01T18:06:24.000Z
"  20.0",2018-02-01T18:06:28.000Z
"  20.0",2018-02-01T18:06:32.000Z
"  20.0",2018-02-01T18:06:36.000Z
"  20.0",2018-02-01T18:06:43.000Z
"  20.0",2018-02-01T18:06:47.000Z
"  20.0",2018-02-01T18:06:50.000Z
"  20.0",2018-02-01T18:06:54.000Z
"  20.0",2018-02-01T18:06:58.000Z
"  20.0",2018-02-01T18:07:01.000Z
"  20.0",2018-02-01T18:07:05.000Z
"  20.0",2018-02-01T18:07:09.000Z
"  20.0",2018-02-01T18:07:13.000Z
"  20.0",2018-02-01T18:07:16.000Z
"  20.0",2018-02-01T18:07:20.000Z
"  20.0",2018-02-01T18:07:24.000Z
"  20.0",2018-02-01T18:07:27.000Z
"  20.0",2018-02-01T18:07:35.000Z
"  20.0",2018-02-01T18:07:38.000Z
"  20.0",2018-02-01T18:07:42.000Z
"  20.0",2018-02-01T18:07:46.000Z
"  20.0",2018-02-01T18:07:50.000Z
"  20.0",2018-02-01T18:07:53.000Z
"  20.0",2018-02-01T18:08:01.000Z
"  20.0",2018-02-01T18:07:57.000Z
"  20.0",2018-02-01T18:08:04.000Z
"  20.0",2018-02-01T18:08:08.000Z
"  20.0",2018-02-01T18:08:12.000Z
"  20.0",2018-02-01T18:08:15.000Z
"  20.0",2018-02-01T18:08:23.000Z
"  20.0",2018-02-01T18:08:27.000Z
"  20.0",2018-02-01T18:08:30.000Z
"  20.0",2018-02-01T18:08:19.000Z
"  20.0",2018-02-01T18:08:34.000Z
"  20.0",2018-02-01T18:08:38.000Z
"  20.0",2018-02-01T18:08:41.000Z
"  20.0",2018-02-01T18:08:45.000Z
"  20.0",2018-02-01T18:08:49.000Z
"  20.0",2018-02-01T18:08:52.000Z
"  20.0",2018-02-01T18:08:56.000Z
"  20.0",2018-02-01T18:09:04.000Z
"  20.0",2018-02-01T18:09:11.000Z
"  20.0",2018-02-01T18:09:07.000Z
"  20.0",2018-02-01T18:09:18.000Z
"  20.0",2018-02-01T18:09:22.000Z
"  20.0",2018-02-01T18:09:26.000Z
"  20.0",2018-02-01T18:09:29.000Z
"  20.0",2018-02-01T18:09:33.000Z
"  20.0",2018-02-01T18:09:37.000Z
"  20.0",2018-02-01T18:09:41.000Z
"  20.0",2018-02-01T18:09:48.000Z
"  20.0",2018-02-01T18:09:52.000Z
"  20.0",2018-02-01T18:09:55.000Z
"  20.0",2018-02-01T18:09:59.000Z
"  20.0",2018-02-01T18:10:03.000Z
"  20.0",2018-02-01T18:10:07.000Z
"  20.0",2018-02-01T18:10:14.000Z
"  20.0",2018-02-01T18:10:18.000Z
"  20.0",2018-02-01T18:10:10.000Z
"  20.0",2018-02-01T18:10:21.000Z
"  20.0",2018-02-01T18:10:25.000Z
"  20.0",2018-02-01T18:10:29.000Z
"  20.0",2018-02-01T18:10:32.000Z
"  20.0",2018-02-01T18:10:36.000Z
"  20.0",2018-02-01T18:10:40.000Z
"  20.0",2018-02-01T18:10:47.000Z
"  20.0",2018-02-01T18:10:51.000Z
"  20.0",2018-02-01T18:10:55.000Z
"  20.0",2018-02-01T18:10:58.000Z
"  20.0",2018-02-01T18:11:02.000Z
"  20.0",2018-02-01T18:11:06.000Z
"  20.0",2018-02-01T18:11:09.000Z
"  20.0",2018-02-01T18:11:13.000Z
"  20.0",2018-02-01T18:11:17.000Z
"  20.0",2018-02-01T18:11:21.000Z
"  20.0",2018-02-01T18:11:28.000Z
"  20.0",2018-02-01T18:11:24.000Z
"  20.0",2018-02-01T18:11:32.000Z
"  20.0",2018-02-01T18:11:35.000Z
"  20.0",2018-02-01T18:11:39.000Z
"  20.0",2018-02-01T18:11:50.000Z
"  20.0",2018-02-01T18:11:54.000Z
"  20.0",2018-02-01T18:11:58.000Z
"  20.0",2018-02-01T18:12:01.000Z
"  20.0",2018-02-01T18:12:09.000Z
"  20.0",2018-02-01T18:12:05.000Z
"  20.0",2018-02-01T18:12:12.000Z
"  20.0",2018-02-01T18:12:16.000Z
"  20.0",2018-02-01T18:12:20.000Z
"  20.0",2018-02-01T18:12:23.000Z
"  20.0",2018-02-01T18:12:27.000Z
"  20.0",2018-02-01T18:12:31.000Z
"  20.0",2018-02-01T18:12:35.000Z
"  20.0",2018-02-01T18:12:42.000Z
"  20.0",2018-02-01T18:12:38.000Z
"  20.0",2018-02-01T18:12:46.000Z
"  20.0",2018-02-01T18:12:53.000Z
"  20.0",2018-02-01T18:12:57.000Z
"  20.0",2018-02-01T18:13:00.000Z
"  20.0",2018-02-01T18:13:04.000Z
"  20.0",2018-02-01T18:13:08.000Z
"  20.0",2018-02-01T18:13:12.000Z
"  20.0",2018-02-01T18:13:15.000Z
"  20.0",2018-02-01T18:13:19.000Z
"  20.0",2018-02-01T18:13:23.000Z
"  20.0",2018-02-01T18:13:26.000Z
"  20.0",2018-02-01T18:13:30.000Z
"  20.0",2018-02-01T18:13:37.000Z
"  20.0",2018-02-01T18:13:41.000Z
"  20.0",2018-02-01T18:13:49.000Z
"  20.0",2018-02-01T18:13:52.000Z
"  20.0",2018-02-01T18:13:56.000Z
"  20.0",2018-02-01T18:14:00.000Z
"  20.0",2018-02-01T18:14:03.000Z
"  20.0",2018-02-01T18:14:07.000Z
"  20.0",2018-02-01T18:14:22.000Z
"  20.0",2018-02-01T18:14:26.000Z
"  20.0",2018-02-01T18:14:29.000Z
"  20.0",2018-02-01T18:14:33.000Z
"  20.0",2018-02-01T18:14:37.000Z
"  20.0",2018-02-01T18:14:40.000Z
"  20.0",2018-02-01T18:14:48.000Z
"  20.0",2018-02-01T18:14:44.000Z
"  20.0",2018-02-01T18:14:51.000Z
"  20.0",2018-02-01T18:14:55.000Z
"  20.0",2018-02-01T18:14:59.000Z
"  20.0",2018-02-01T18:15:10.000Z
"  20.0",2018-02-01T18:15:03.000Z
"  20.0",2018-02-01T18:15:14.000Z
"  20.0",2018-02-01T18:15:17.000Z
"  20.0",2018-02-01T18:15:21.000Z
"  20.0",2018-02-01T18:15:25.000Z
"  20.0",2018-02-01T18:15:29.000Z
"  20.0",2018-02-01T18:15:32.000Z
"  20.0",2018-02-01T18:15:36.000Z
"  20.0",2018-02-01T18:15:40.000Z
"  20.0",2018-02-01T18:15:43.000Z
"  20.0",2018-02-01T18:15:51.000Z
"  20.0",2018-02-01T18:15:54.000Z
"  20.0",2018-02-01T18:15:47.000Z
"  20.0",2018-02-01T18:15:58.000Z
"  20.0",2018-02-01T18:16:06.000Z
"  20.0",2018-02-01T18:16:09.000Z
"  20.0",2018-02-01T18:16:02.000Z
"  20.0",2018-02-01T18:16:13.000Z
"  20.0",2018-02-01T18:16:17.000Z
"  20.0",2018-02-01T18:16:20.000Z
"  20.0",2018-02-01T18:16:24.000Z
"  20.0",2018-02-01T18:16:28.000Z
"  20.0",2018-02-01T18:16:31.000Z
"  20.0",2018-02-01T18:16:39.000Z
"  20.0",2018-02-01T18:16:43.000Z
"  20.0",2018-02-01T18:16:46.000Z
"  20.0",2018-02-01T18:16:50.000Z
"  20.0",2018-02-01T18:16:54.000Z
"  20.0",2018-02-01T18:16:57.000Z
"  20.0",2018-02-01T18:17:05.000Z
"  20.0",2018-02-01T18:17:01.000Z
"  20.0",2018-02-01T18:17:08.000Z
"  20.0",2018-02-01T18:17:12.000Z
"  20.0",2018-02-01T18:17:16.000Z
"  20.0",2018-02-01T18:17:20.000Z
"  20.0",2018-02-01T18:17:23.000Z
"  20.0",2018-02-01T18:17:27.000Z
"  20.0",2018-02-01T18:17:31.000Z
"  20.0",2018-02-01T18:17:34.000Z
"  20.0",2018-02-01T18:17:38.000Z
"  20.0",2018-02-01T18:17:42.000Z
"  20.0",2018-02-01T18:17:49.000Z
"  20.0",2018-02-01T18:17:53.000Z
"  20.0",2018-02-01T18:17:57.000Z
"  20.0",2018-02-01T18:18:00.000Z
"  20.0",2018-02-01T18:18:04.000Z
"  20.0",2018-02-01T18:18:08.000Z
"  20.0",2018-02-01T18:18:11.000Z
"  20.0",2018-02-01T18:18:19.000Z
"  20.0",2018-02-01T18:18:22.000Z
"  20.0",2018-02-01T18:18:26.000Z
"  20.0",2018-02-01T18:18:30.000Z
"  20.0",2018-02-01T18:18:34.000Z
"  20.0",2018-02-01T18:18:37.000Z
"  20.0",2018-02-01T18:18:41.000Z
"  20.0",2018-02-01T18:18:45.000Z
"  20.0",2018-02-01T18:18:48.000Z
"  20.0",2018-02-01T18:18:52.000Z
"  20.0",2018-02-01T18:19:00.000Z
"  20.0",2018-02-01T18:19:03.000Z
"  20.0",2018-02-01T18:19:07.000Z
"  20.0",2018-02-01T18:19:11.000Z
"  20.0",2018-02-01T18:19:14.000Z
"  20.0",2018-02-01T18:19:22.000Z
"  20.0",2018-02-01T18:19:25.000Z
"  20.0",2018-02-01T18:19:18.000Z
"  20.0",2018-02-01T18:19:29.000Z
"  20.0",2018-02-01T18:19:33.000Z
"  20.0",2018-02-01T18:19:37.000Z
"  20.0",2018-02-01T18:19:40.000Z
"  20.0",2018-02-01T18:19:48.000Z
"  20.0",2018-02-01T18:19:51.000Z
"  20.0",2018-02-01T18:19:55.000Z
"  20.0",2018-02-01T18:19:59.000Z
"  20.0",2018-02-01T18:20:02.000Z
"  20.0",2018-02-01T18:20:06.000Z
"  20.0",2018-02-01T18:20:10.000Z
"  20.0",2018-02-01T18:20:14.000Z
"  20.0",2018-02-01T18:20:17.000Z
"  20.0",2018-02-01T18:20:25.000Z
"  20.0",2018-02-01T18:20:21.000Z
"  20.0",2018-02-01T18:20:28.000Z
"  20.0",2018-02-01T18:20:32.000Z
"  20.0",2018-02-01T18:20:36.000Z
"  20.0",2018-02-01T18:20:51.000Z
"  20.0",2018-02-01T18:20:58.000Z
"  20.0",2018-02-01T18:21:02.000Z
"  20.0",2018-02-01T18:21:05.000Z
"  20.0",2018-02-01T18:21:13.000Z
"  20.0",2018-02-01T18:21:09.000Z
"  20.0",2018-02-01T18:21:17.000Z
"  20.0",2018-02-01T18:21:20.000Z
"  20.0",2018-02-01T18:21:24.000Z
"  20.0",2018-02-01T18:21:28.000Z
"  20.0",2018-02-01T18:21:31.000Z
"  20.0",2018-02-01T18:21:35.000Z
"  20.0",2018-02-01T18:21:39.000Z
"  20.0",2018-02-01T18:21:42.000Z
"  20.0",2018-02-01T18:21:50.000Z
"  20.0",2018-02-01T18:21:54.000Z
"  20.0",2018-02-01T18:22:01.000Z
"  20.0",2018-02-01T18:21:57.000Z
"  20.0",2018-02-01T18:22:12.000Z
"  20.0",2018-02-01T18:22:05.000Z
"  20.0",2018-02-01T18:22:16.000Z
"  20.0",2018-02-01T18:22:19.000Z
"  20.0",2018-02-01T18:22:23.000Z
"  20.0",2018-02-01T18:22:27.000Z
"  20.0",2018-02-01T18:22:34.000Z
"  20.0",2018-02-01T18:22:38.000Z
"  20.0",2018-02-01T18:22:42.000Z
"  20.0",2018-02-01T18:22:45.000Z
"  20.0",2018-02-01T18:22:49.000Z
"  20.0",2018-02-01T18:22:53.000Z
"  20.0",2018-02-01T18:22:56.000Z
"  20.0",2018-02-01T18:23:00.000Z
"  20.0",2018-02-01T18:23:04.000Z
"  20.0",2018-02-01T18:23:08.000Z
"  20.0",2018-02-01T18:23:11.000Z
"  20.0",2018-02-01T18:23:15.000Z
"  20.0",2018-02-01T18:23:19.000Z
"  20.0",2018-02-01T18:23:22.000Z
"  20.0",2018-02-01T18:23:26.000Z
"  20.0",2018-02-01T18:23:30.000Z
"  20.0",2018-02-01T18:23:41.000Z
"  20.0",2018-02-01T18:23:33.000Z
"  20.0",2018-02-01T18:23:45.000Z
"  20.0",2018-02-01T18:23:37.000Z
"  20.0",2018-02-01T18:23:56.000Z
"  20.0",2018-02-01T18:23:59.000Z
"  20.0",2018-02-01T18:24:03.000Z
"  20.0",2018-02-01T18:24:07.000Z
"  20.0",2018-02-01T18:24:11.000Z
"  20.0",2018-02-01T18:24:14.000Z
"  20.0",2018-02-01T18:24:18.000Z
"  20.0",2018-02-01T18:24:25.000Z
"  20.0",2018-02-01T18:24:29.000Z
"  20.0",2018-02-01T18:24:22.000Z
"  20.0",2018-02-01T18:24:33.000Z
"  20.0",2018-02-01T18:24:36.000Z
"  20.0",2018-02-01T18:24:40.000Z
"  20.0",2018-02-01T18:24:44.000Z
"  20.0",2018-02-01T18:24:48.000Z
"  20.0",2018-02-01T18:24:51.000Z
"  20.0",2018-02-01T18:24:55.000Z
"  20.0",2018-02-01T18:24:59.000Z
"  20.0",2018-02-01T18:25:10.000Z
"  20.0",2018-02-01T18:25:13.000Z
"  20.0",2018-02-01T18:25:17.000Z
"  20.0",2018-02-01T18:25:21.000Z
"  20.0",2018-02-01T18:25:25.000Z
"  20.0",2018-02-01T18:25:32.000Z
"  20.0",2018-02-01T18:25:36.000Z
"  20.0",2018-02-01T18:25:39.000Z
"  20.0",2018-02-01T18:25:43.000Z
"  20.0",2018-02-01T18:25:47.000Z
"  20.0",2018-02-01T18:25:54.000Z
"  20.0",2018-02-01T18:25:58.000Z
"  20.0",2018-02-01T18:26:02.000Z
"  20.0",2018-02-01T18:26:05.000Z
"  20.0",2018-02-01T18:26:09.000Z
"  20.0",2018-02-01T18:26:13.000Z
"  20.0",2018-02-01T18:26:16.000Z
"  20.0",2018-02-01T18:26:20.000Z
"  20.0",2018-02-01T18:26:24.000Z
"  20.0",2018-02-01T18:26:27.000Z
"  20.0",2018-02-01T18:26:35.000Z
"  20.0",2018-02-01T18:26:39.000Z
"  20.0",2018-02-01T18:26:42.000Z
"  20.0",2018-02-01T18:26:50.000Z
"  20.0",2018-02-01T18:26:46.000Z
"  20.0",2018-02-01T18:26:53.000Z
"  20.0",2018-02-01T18:26:57.000Z
"  20.0",2018-02-01T18:27:01.000Z
"  20.0",2018-02-01T18:27:04.000Z
"  20.0",2018-02-01T18:27:12.000Z
"  20.0",2018-02-01T18:27:16.000Z
"  20.0",2018-02-01T18:27:19.000Z
"  20.0",2018-02-01T18:27:23.000Z
"  20.0",2018-02-01T18:27:27.000Z
"  20.0",2018-02-01T18:27:34.000Z
"  20.0",2018-02-01T18:27:30.000Z
"  20.0",2018-02-01T18:27:38.000Z
"  20.0",2018-02-01T18:27:41.000Z
"  20.0",2018-02-01T18:27:45.000Z
"  20.0",2018-02-01T18:27:49.000Z
"  20.0",2018-02-01T18:27:56.000Z
"  20.0",2018-02-01T18:28:00.000Z
"  20.0",2018-02-01T18:28:04.000Z
"  20.0",2018-02-01T18:28:07.000Z
"  20.0",2018-02-01T18:28:11.000Z
"  20.0",2018-02-01T18:28:15.000Z
"  20.0",2018-02-01T18:28:18.000Z
"  20.0",2018-02-01T18:28:22.000Z
"  20.0",2018-02-01T18:28:26.000Z
"  20.0",2018-02-01T18:28:33.000Z
"  20.0",2018-02-01T18:28:37.000Z
"  20.0",2018-02-01T18:28:41.000Z
"  20.0",2018-02-01T18:28:44.000Z
"  20.0",2018-02-01T18:28:52.000Z
"  20.0",2018-02-01T18:28:48.000Z
"  20.0",2018-02-01T18:28:56.000Z
"  20.0",2018-02-01T18:28:59.000Z
"  20.0",2018-02-01T18:29:03.000Z
"  20.0",2018-02-01T18:29:07.000Z
"  20.0",2018-02-01T18:29:10.000Z
"  20.0",2018-02-01T18:29:18.000Z
"  20.0",2018-02-01T18:29:21.000Z
"  20.0",2018-02-01T18:29:29.000Z
"  20.0",2018-02-01T18:29:25.000Z
"  20.0",2018-02-01T18:29:33.000Z
"  20.0",2018-02-01T18:29:36.000Z
"  20.0",2018-02-01T18:29:40.000Z
"  20.0",2018-02-01T18:29:44.000Z
"  20.0",2018-02-01T18:29:47.000Z
"  20.0",2018-02-01T18:29:51.000Z
"  20.0",2018-02-01T18:29:55.000Z
"  20.0",2018-02-01T18:30:02.000Z
"  20.0",2018-02-01T18:30:06.000Z
"  20.0",2018-02-01T18:30:10.000Z
"  20.0",2018-02-01T18:30:13.000Z
"  20.0",2018-02-01T18:30:17.000Z
"  20.0",2018-02-01T18:30:21.000Z
"  20.0",2018-02-01T18:30:24.000Z
"  20.0",2018-02-01T18:30:28.000Z
"  20.0",2018-02-01T18:30:32.000Z
"  20.0",2018-02-01T18:30:35.000Z
"  20.0",2018-02-01T18:30:39.000Z
"  20.0",2018-02-01T18:30:43.000Z
"  20.0",2018-02-01T18:30:50.000Z
"  20.0",2018-02-01T18:30:46.000Z
"  20.0",2018-02-01T18:30:54.000Z
"  20.0",2018-02-01T18:31:01.000Z
"  20.0",2018-02-01T18:31:05.000Z
"  20.0",2018-02-01T18:31:09.000Z
"  20.0",2018-02-01T18:31:12.000Z
"  20.0",2018-02-01T18:31:16.000Z
"  20.0",2018-02-01T18:31:20.000Z
"  20.0",2018-02-01T18:31:31.000Z
"  20.0",2018-02-01T18:31:35.000Z
"  20.0",2018-02-01T18:31:42.000Z
"  20.0",2018-02-01T18:31:46.000Z
"  20.0",2018-02-01T18:31:49.000Z
"  20.0",2018-02-01T18:31:57.000Z
"  20.0",2018-02-01T18:32:00.000Z
"  20.0",2018-02-01T18:32:04.000Z
"  20.0",2018-02-01T18:32:08.000Z
"  20.0",2018-02-01T18:31:53.000Z
"  20.0",2018-02-01T18:32:12.000Z
"  20.0",2018-02-01T18:32:15.000Z
"  20.0",2018-02-01T18:32:23.000Z
