Hora;Potencia (W);Fecha
18:00:05;2,93;2018-02-01
18:00:12;2,93;2018-02-01
18:00:16;2,93;2018-02-01
18:00:19;0;2018-02-01
18:00:23;2,93;2018-02-01
18:00:08;0;2018-02-01
18:00:27;0;2018-02-01
18:00:37;0;2018-02-01
18:00:41;2,93;2018-02-01
18:00:44;0;2018-02-01
18:00:48;2,93;2018-02-01
18:00:55;0;2018-02-01
18:00:52;2,93;2018-02-01
18:01:03;2,93;2018-02-01
18:01:07;0;2018-02-01
18:01:10;2,93;2018-02-01
18:01:14;2,93;2018-02-01
18:01:18;0;2018-02-01
18:05:11;17,578;2018-02-01
18:05:14;20,508;2018-02-01
18:05:22;43,945;2018-02-01
18:05:25;35,156;2018-02-01
18:05:29;41,016;2018-02-01
18:05:33;35,156;2018-02-01
18:05:36;38,086;2018-02-01
18:05:40;35,156;2018-02-01
18:05:44;41,016;2018-02-01
18:05:51;46,875;2018-02-01
18:05:55;46,875;2018-02-01
18:06:02;38,086;2018-02-01
18:06:06;38,086;2018-02-01
18:06:10;38,086;2018-02-01
18:06:13;38,086;2018-02-01
18:06:17;41,016;2018-02-01
18:06:21;32,227;2018-02-01
18:06:24;43,945;2018-02-01
18:06:32;35,156;2018-02-01
18:06:36;35,156;2018-02-01
18:06:28;35,156;2018-02-01
18:06:39;41,016;2018-02-01
18:06:43;35,156;2018-02-01
18:06:47;38,086;2018-02-01
18:06:50;32,227;2018-02-01
18:06:54;43,945;2018-02-01
18:06:58;23,438;2018-02-01
18:07:01;41,016;2018-02-01
18:07:05;32,227;2018-02-01
18:07:09;35,156;2018-02-01
18:07:13;38,086;2018-02-01
18:07:16;26,367;2018-02-01
18:07:20;35,156;2018-02-01
18:07:24;38,086;2018-02-01
18:07:31;38,086;2018-02-01
18:07:35;35,156;2018-02-01
18:07:38;32,227;2018-02-01
18:07:42;35,156;2018-02-01
18:07:46;23,438;2018-02-01
18:07:53;29,297;2018-02-01
18:07:50;29,297;2018-02-01
18:08:01;29,297;2018-02-01
18:07:57;38,086;2018-02-01
18:08:04;46,875;2018-02-01
18:08:08;32,227;2018-02-01
18:08:12;32,227;2018-02-01
18:08:15;32,227;2018-02-01
18:08:19;29,297;2018-02-01
18:08:23;29,297;2018-02-01
18:08:27;29,297;2018-02-01
18:08:30;29,297;2018-02-01
18:08:34;35,156;2018-02-01
18:08:38;32,227;2018-02-01
18:08:45;26,367;2018-02-01
18:08:41;29,297;2018-02-01
18:08:49;32,227;2018-02-01
18:08:52;29,297;2018-02-01
18:08:56;29,297;2018-02-01
18:09:00;32,227;2018-02-01
18:09:04;32,227;2018-02-01
18:09:07;29,297;2018-02-01
18:09:11;29,297;2018-02-01
18:09:15;32,227;2018-02-01
18:09:18;32,227;2018-02-01
18:09:22;29,297;2018-02-01
18:09:26;29,297;2018-02-01
18:09:33;26,367;2018-02-01
18:09:37;32,227;2018-02-01
18:09:41;29,297;2018-02-01
18:09:48;29,297;2018-02-01
18:09:44;35,156;2018-02-01
18:09:55;43,945;2018-02-01
18:09:52;32,227;2018-02-01
18:09:59;29,297;2018-02-01
