value,timestamp
234.328,2018-02-01T18:00:05.000Z
234.130,2018-02-01T18:00:16.000Z
234.532,2018-02-01T18:00:19.000Z
234.513,2018-02-01T18:00:23.000Z
234.082,2018-02-01T18:00:37.000Z
234.466,2018-02-01T18:00:30.000Z
234.208,2018-02-01T18:00:44.000Z
234.287,2018-02-01T18:00:55.000Z
233.945,2018-02-01T18:01:03.000Z
233.960,2018-02-01T18:01:07.000Z
234.557,2018-02-01T18:01:18.000Z
234.338,2018-02-01T18:01:10.000Z
233.864,2018-02-01T18:05:11.000Z
233.494,2018-02-01T18:05:25.000Z
233.743,2018-02-01T18:05:22.000Z
233.547,2018-02-01T18:05:29.000Z
233.840,2018-02-01T18:05:44.000Z
233.697,2018-02-01T18:05:47.000Z
233.817,2018-02-01T18:05:51.000Z
233.832,2018-02-01T18:05:59.000Z
234.143,2018-02-01T18:06:06.000Z
233.659,2018-02-01T18:06:13.000Z
233.688,2018-02-01T18:06:28.000Z
233.635,2018-02-01T18:06:21.000Z
233.954,2018-02-01T18:06:36.000Z
234.081,2018-02-01T18:06:39.000Z
233.501,2018-02-01T18:06:47.000Z
233.278,2018-02-01T18:06:54.000Z
233.807,2018-02-01T18:07:05.000Z
233.501,2018-02-01T18:07:01.000Z
233.949,2018-02-01T18:07:13.000Z
233.804,2018-02-01T18:07:09.000Z
233.953,2018-02-01T18:07:16.000Z
233.740,2018-02-01T18:07:24.000Z
233.981,2018-02-01T18:07:31.000Z
234.092,2018-02-01T18:07:35.000Z
234.074,2018-02-01T18:07:38.000Z
233.353,2018-02-01T18:07:46.000Z
233.451,2018-02-01T18:07:53.000Z
233.994,2018-02-01T18:08:04.000Z
233.765,2018-02-01T18:08:08.000Z
233.541,2018-02-01T18:08:12.000Z
232.864,2018-02-01T18:08:19.000Z
233.057,2018-02-01T18:08:23.000Z
233.559,2018-02-01T18:08:27.000Z
233.572,2018-02-01T18:08:30.000Z
233.813,2018-02-01T18:08:41.000Z
233.680,2018-02-01T18:08:38.000Z
233.773,2018-02-01T18:08:45.000Z
233.869,2018-02-01T18:08:52.000Z
233.605,2018-02-01T18:09:00.000Z
233.471,2018-02-01T18:09:11.000Z
233.370,2018-02-01T18:09:18.000Z
233.515,2018-02-01T18:09:15.000Z
233.377,2018-02-01T18:09:26.000Z
233.402,2018-02-01T18:09:22.000Z
233.225,2018-02-01T18:09:37.000Z
233.171,2018-02-01T18:09:33.000Z
233.271,2018-02-01T18:09:41.000Z
233.115,2018-02-01T18:09:44.000Z
233.009,2018-02-01T18:09:48.000Z
232.780,2018-02-01T18:09:52.000Z
233.587,2018-02-01T18:10:07.000Z
233.787,2018-02-01T18:10:14.000Z
233.581,2018-02-01T18:10:29.000Z
233.480,2018-02-01T18:10:25.000Z
233.561,2018-02-01T18:10:32.000Z
233.145,2018-02-01T18:10:40.000Z
233.098,2018-02-01T18:10:44.000Z
233.413,2018-02-01T18:10:51.000Z
233.278,2018-02-01T18:10:47.000Z
233.554,2018-02-01T18:11:02.000Z
233.589,2018-02-01T18:11:09.000Z
233.118,2018-02-01T18:11:17.000Z
233.199,2018-02-01T18:11:28.000Z
233.132,2018-02-01T18:11:24.000Z
233.461,2018-02-01T18:11:32.000Z
233.536,2018-02-01T18:11:39.000Z
233.502,2018-02-01T18:11:43.000Z
233.487,2018-02-01T18:11:50.000Z
233.914,2018-02-01T18:11:58.000Z
233.666,2018-02-01T18:11:54.000Z
233.960,2018-02-01T18:12:01.000Z
234.036,2018-02-01T18:12:05.000Z
234.364,2018-02-01T18:12:09.000Z
234.092,2018-02-01T18:12:12.000Z
233.593,2018-02-01T18:12:20.000Z
233.418,2018-02-01T18:12:27.000Z
233.403,2018-02-01T18:12:23.000Z
233.469,2018-02-01T18:12:42.000Z
233.221,2018-02-01T18:12:53.000Z
233.289,2018-02-01T18:12:49.000Z
233.253,2018-02-01T18:13:00.000Z
233.714,2018-02-01T18:13:08.000Z
233.486,2018-02-01T18:13:12.000Z
233.506,2018-02-01T18:13:19.000Z
233.900,2018-02-01T18:13:34.000Z
233.890,2018-02-01T18:13:30.000Z
233.950,2018-02-01T18:13:37.000Z
233.947,2018-02-01T18:13:41.000Z
233.998,2018-02-01T18:13:49.000Z
233.933,2018-02-01T18:13:52.000Z
233.887,2018-02-01T18:14:03.000Z
234.028,2018-02-01T18:14:00.000Z
233.651,2018-02-01T18:14:11.000Z
233.792,2018-02-01T18:14:14.000Z
233.323,2018-02-01T18:14:22.000Z
233.072,2018-02-01T18:14:26.000Z
232.962,2018-02-01T18:14:33.000Z
233.150,2018-02-01T18:14:37.000Z
233.770,2018-02-01T18:14:40.000Z
233.727,2018-02-01T18:14:51.000Z
233.971,2018-02-01T18:14:59.000Z
233.932,2018-02-01T18:15:03.000Z
233.920,2018-02-01T18:15:06.000Z
233.867,2018-02-01T18:15:10.000Z
233.615,2018-02-01T18:15:17.000Z
233.542,2018-02-01T18:15:21.000Z
233.637,2018-02-01T18:15:29.000Z
233.763,2018-02-01T18:15:25.000Z
233.967,2018-02-01T18:15:36.000Z
233.713,2018-02-01T18:15:32.000Z
233.656,2018-02-01T18:15:43.000Z
233.816,2018-02-01T18:15:40.000Z
233.640,2018-02-01T18:15:47.000Z
232.994,2018-02-01T18:15:54.000Z
232.975,2018-02-01T18:15:58.000Z
233.375,2018-02-01T18:16:09.000Z
233.786,2018-02-01T18:16:13.000Z
233.867,2018-02-01T18:16:20.000Z
233.713,2018-02-01T18:16:24.000Z
233.719,2018-02-01T18:16:28.000Z
233.668,2018-02-01T18:16:31.000Z
233.558,2018-02-01T18:16:35.000Z
233.643,2018-02-01T18:16:50.000Z
233.474,2018-02-01T18:16:46.000Z
233.687,2018-02-01T18:16:54.000Z
233.730,2018-02-01T18:16:57.000Z
