value,timestamp
" 0.000",2018-02-05T15:03:09.000Z
" 0.000",2018-02-05T15:03:13.000Z
" 0.045",2018-02-05T15:03:20.000Z
" 0.090",2018-02-05T15:03:24.000Z
" 0.135",2018-02-05T15:03:31.000Z
" 0.135",2018-02-05T15:03:35.000Z
" 0.135",2018-02-05T15:03:39.000Z
" 0.136",2018-02-05T15:03:42.000Z
" 0.137",2018-02-05T15:03:50.000Z
" 0.139",2018-02-05T15:04:01.000Z
" 0.139",2018-02-05T15:04:04.000Z
" 0.139",2018-02-05T15:04:08.000Z
" 0.140",2018-02-05T15:04:16.000Z
" 0.141",2018-02-05T15:04:19.000Z
" 0.142",2018-02-05T15:04:27.000Z
" 0.143",2018-02-05T15:04:30.000Z
" 0.143",2018-02-05T15:04:34.000Z
" 0.144",2018-02-05T15:04:42.000Z
" 0.145",2018-02-05T15:04:45.000Z
" 0.146",2018-02-05T15:04:53.000Z
" 0.146",2018-02-05T15:04:56.000Z
" 0.147",2018-02-05T15:05:00.000Z
" 0.148",2018-02-05T15:05:07.000Z
" 0.148",2018-02-05T15:05:11.000Z
" 0.149",2018-02-05T15:05:15.000Z
" 0.149",2018-02-05T15:05:19.000Z
" 0.150",2018-02-05T15:05:22.000Z
" 0.150",2018-02-05T15:05:26.000Z
" 0.151",2018-02-05T15:05:30.000Z
" 0.151",2018-02-05T15:05:33.000Z
" 0.152",2018-02-05T15:05:37.000Z
" 0.153",2018-02-05T15:05:45.000Z
" 0.153",2018-02-05T15:05:48.000Z
" 0.153",2018-02-05T15:05:52.000Z
" 0.154",2018-02-05T15:05:56.000Z
" 0.155",2018-02-05T15:05:59.000Z
" 0.155",2018-02-05T15:06:03.000Z
" 0.156",2018-02-05T15:06:10.000Z
" 0.157",2018-02-05T15:06:18.000Z
" 0.157",2018-02-05T15:06:22.000Z
" 0.158",2018-02-05T15:06:25.000Z
" 0.158",2018-02-05T15:06:29.000Z
" 0.159",2018-02-05T15:06:33.000Z
" 0.159",2018-02-05T15:06:36.000Z
" 0.160",2018-02-05T15:06:40.000Z
" 0.160",2018-02-05T15:06:44.000Z
" 0.160",2018-02-05T15:06:47.000Z
" 0.161",2018-02-05T15:06:51.000Z
" 0.161",2018-02-05T15:06:55.000Z
" 0.162",2018-02-05T15:07:02.000Z
" 0.164",2018-02-05T15:07:10.000Z
" 0.164",2018-02-05T15:07:13.000Z
" 0.165",2018-02-05T15:07:17.000Z
" 0.165",2018-02-05T15:07:21.000Z
" 0.166",2018-02-05T15:07:24.000Z
" 0.166",2018-02-05T15:07:28.000Z
" 0.167",2018-02-05T15:07:32.000Z
" 0.167",2018-02-05T15:07:36.000Z
" 0.169",2018-02-05T15:07:43.000Z
" 0.171",2018-02-05T15:07:58.000Z
" 0.171",2018-02-05T15:08:01.000Z
" 0.172",2018-02-05T15:08:05.000Z
" 0.172",2018-02-05T15:08:09.000Z
" 0.173",2018-02-05T15:08:13.000Z
" 0.173",2018-02-05T15:08:16.000Z
" 0.174",2018-02-05T15:08:20.000Z
" 0.174",2018-02-05T15:08:24.000Z
" 0.175",2018-02-05T15:08:31.000Z
" 0.175",2018-02-05T15:08:35.000Z
" 0.176",2018-02-05T15:08:39.000Z
" 0.177",2018-02-05T15:08:42.000Z
" 0.177",2018-02-05T15:08:46.000Z
" 0.178",2018-02-05T15:08:50.000Z
" 0.178",2018-02-05T15:08:53.000Z
" 0.179",2018-02-05T15:09:01.000Z
" 0.179",2018-02-05T15:09:04.000Z
" 0.180",2018-02-05T15:09:08.000Z
" 0.180",2018-02-05T15:09:12.000Z
" 0.181",2018-02-05T15:09:16.000Z
" 0.181",2018-02-05T15:09:19.000Z
" 0.187",2018-02-05T15:09:23.000Z
" 0.193",2018-02-05T15:09:27.000Z
" 0.200",2018-02-05T15:09:30.000Z
" 0.207",2018-02-05T15:09:34.000Z
" 0.221",2018-02-05T15:09:41.000Z
" 0.228",2018-02-05T15:09:45.000Z
" 0.241",2018-02-05T15:09:52.000Z
" 0.247",2018-02-05T15:09:56.000Z
" 0.254",2018-02-05T15:10:00.000Z
" 0.266",2018-02-05T15:10:07.000Z
" 0.272",2018-02-05T15:10:11.000Z
" 0.278",2018-02-05T15:10:15.000Z
" 0.283",2018-02-05T15:10:18.000Z
" 0.289",2018-02-05T15:10:22.000Z
" 0.295",2018-02-05T15:10:26.000Z
" 0.301",2018-02-05T15:10:30.000Z
" 0.312",2018-02-05T15:10:37.000Z
" 0.317",2018-02-05T15:10:41.000Z
" 0.323",2018-02-05T15:10:44.000Z
" 0.328",2018-02-05T15:10:48.000Z
" 0.334",2018-02-05T15:10:52.000Z
" 0.345",2018-02-05T15:10:59.000Z
" 0.350",2018-02-05T15:11:03.000Z
" 0.356",2018-02-05T15:11:07.000Z
" 0.361",2018-02-05T15:11:10.000Z
" 0.373",2018-02-05T15:11:18.000Z
" 0.378",2018-02-05T15:11:21.000Z
" 0.384",2018-02-05T15:11:25.000Z
" 0.389",2018-02-05T15:11:29.000Z
" 0.395",2018-02-05T15:11:32.000Z
" 0.400",2018-02-05T15:11:36.000Z
" 0.411",2018-02-05T15:11:44.000Z
" 0.422",2018-02-05T15:11:51.000Z
" 0.427",2018-02-05T15:11:55.000Z
" 0.433",2018-02-05T15:11:58.000Z
" 0.439",2018-02-05T15:12:02.000Z
" 0.444",2018-02-05T15:12:06.000Z
" 0.455",2018-02-05T15:12:13.000Z
" 0.461",2018-02-05T15:12:17.000Z
" 0.466",2018-02-05T15:12:21.000Z
" 0.472",2018-02-05T15:12:24.000Z
" 0.477",2018-02-05T15:12:28.000Z
" 0.483",2018-02-05T15:12:32.000Z
" 0.488",2018-02-05T15:12:35.000Z
" 0.494",2018-02-05T15:12:39.000Z
" 0.500",2018-02-05T15:12:43.000Z
" 0.505",2018-02-05T15:12:46.000Z
" 0.516",2018-02-05T15:12:54.000Z
" 0.527",2018-02-05T15:13:01.000Z
" 0.532",2018-02-05T15:13:05.000Z
" 0.537",2018-02-05T15:13:09.000Z
" 0.542",2018-02-05T15:13:12.000Z
" 0.548",2018-02-05T15:13:16.000Z
" 0.553",2018-02-05T15:13:20.000Z
" 0.559",2018-02-05T15:13:23.000Z
" 0.575",2018-02-05T15:13:35.000Z
" 0.580",2018-02-05T15:13:38.000Z
" 0.585",2018-02-05T15:13:42.000Z
" 0.596",2018-02-05T15:13:49.000Z
" 0.602",2018-02-05T15:13:53.000Z
" 0.607",2018-02-05T15:13:57.000Z
" 0.612",2018-02-05T15:14:00.000Z
" 0.623",2018-02-05T15:14:08.000Z
" 0.628",2018-02-05T15:14:12.000Z
" 0.634",2018-02-05T15:14:15.000Z
" 0.639",2018-02-05T15:14:19.000Z
" 0.650",2018-02-05T15:14:26.000Z
" 0.661",2018-02-05T15:14:34.000Z
" 0.667",2018-02-05T15:14:37.000Z
" 0.672",2018-02-05T15:14:41.000Z
" 0.677",2018-02-05T15:14:45.000Z
" 0.683",2018-02-05T15:14:49.000Z
" 0.688",2018-02-05T15:14:52.000Z
" 0.693",2018-02-05T15:14:56.000Z
" 0.704",2018-02-05T15:15:03.000Z
" 0.709",2018-02-05T15:15:07.000Z
" 0.715",2018-02-05T15:15:11.000Z
" 0.726",2018-02-05T15:15:18.000Z
" 0.731",2018-02-05T15:15:22.000Z
" 0.736",2018-02-05T15:15:26.000Z
" 0.742",2018-02-05T15:15:29.000Z
" 0.747",2018-02-05T15:15:33.000Z
" 0.752",2018-02-05T15:15:37.000Z
" 0.757",2018-02-05T15:15:40.000Z
" 0.763",2018-02-05T15:15:44.000Z
" 0.773",2018-02-05T15:15:52.000Z
" 0.778",2018-02-05T15:15:55.000Z
" 0.784",2018-02-05T15:15:59.000Z
" 0.789",2018-02-05T15:16:03.000Z
" 0.795",2018-02-05T15:16:06.000Z
" 0.800",2018-02-05T15:16:10.000Z
" 0.811",2018-02-05T15:16:17.000Z
" 0.816",2018-02-05T15:16:21.000Z
" 0.822",2018-02-05T15:16:25.000Z
" 0.827",2018-02-05T15:16:29.000Z
" 0.833",2018-02-05T15:16:32.000Z
" 0.838",2018-02-05T15:16:36.000Z
" 0.849",2018-02-05T15:16:43.000Z
" 0.854",2018-02-05T15:16:47.000Z
" 0.859",2018-02-05T15:16:51.000Z
" 0.865",2018-02-05T15:16:54.000Z
" 0.870",2018-02-05T15:16:58.000Z
" 0.875",2018-02-05T15:17:02.000Z
