value,timestamp
49.920,2018-02-05T15:03:09.000Z
49.925,2018-02-05T15:03:13.000Z
49.920,2018-02-05T15:03:24.000Z
49.920,2018-02-05T15:03:27.000Z
49.920,2018-02-05T15:03:31.000Z
49.920,2018-02-05T15:03:35.000Z
49.925,2018-02-05T15:03:39.000Z
49.920,2018-02-05T15:03:42.000Z
49.845,2018-02-05T15:03:46.000Z
49.845,2018-02-05T15:03:53.000Z
49.845,2018-02-05T15:03:57.000Z
49.845,2018-02-05T15:04:01.000Z
49.920,2018-02-05T15:04:08.000Z
49.920,2018-02-05T15:04:19.000Z
49.841,2018-02-05T15:04:23.000Z
49.841,2018-02-05T15:04:27.000Z
49.845,2018-02-05T15:04:30.000Z
49.845,2018-02-05T15:04:38.000Z
49.925,2018-02-05T15:04:42.000Z
49.930,2018-02-05T15:04:45.000Z
49.925,2018-02-05T15:04:49.000Z
49.960,2018-02-05T15:04:53.000Z
49.925,2018-02-05T15:04:56.000Z
49.925,2018-02-05T15:05:00.000Z
49.925,2018-02-05T15:05:04.000Z
49.920,2018-02-05T15:05:07.000Z
49.910,2018-02-05T15:05:11.000Z
49.841,2018-02-05T15:05:15.000Z
49.845,2018-02-05T15:05:19.000Z
49.845,2018-02-05T15:05:26.000Z
49.841,2018-02-05T15:05:30.000Z
49.845,2018-02-05T15:05:33.000Z
49.845,2018-02-05T15:05:37.000Z
49.845,2018-02-05T15:05:41.000Z
49.920,2018-02-05T15:05:45.000Z
49.920,2018-02-05T15:05:48.000Z
49.925,2018-02-05T15:05:52.000Z
49.980,2018-02-05T15:05:56.000Z
49.925,2018-02-05T15:05:59.000Z
49.925,2018-02-05T15:06:03.000Z
49.920,2018-02-05T15:06:07.000Z
49.925,2018-02-05T15:06:10.000Z
49.920,2018-02-05T15:06:14.000Z
49.925,2018-02-05T15:06:18.000Z
49.925,2018-02-05T15:06:22.000Z
49.920,2018-02-05T15:06:25.000Z
49.930,2018-02-05T15:06:29.000Z
49.925,2018-02-05T15:06:33.000Z
49.925,2018-02-05T15:06:36.000Z
49.920,2018-02-05T15:06:40.000Z
49.920,2018-02-05T15:06:44.000Z
49.920,2018-02-05T15:06:47.000Z
49.920,2018-02-05T15:06:51.000Z
49.920,2018-02-05T15:06:55.000Z
49.925,2018-02-05T15:06:59.000Z
49.925,2018-02-05T15:07:02.000Z
