value,timestamp
231.949,2018-02-05T15:03:13.000Z
231.621,2018-02-05T15:03:16.000Z
231.961,2018-02-05T15:03:31.000Z
231.666,2018-02-05T15:03:35.000Z
231.711,2018-02-05T15:03:46.000Z
231.342,2018-02-05T15:03:50.000Z
231.561,2018-02-05T15:03:53.000Z
231.094,2018-02-05T15:04:04.000Z
231.192,2018-02-05T15:04:08.000Z
231.139,2018-02-05T15:04:16.000Z
231.118,2018-02-05T15:04:19.000Z
231.142,2018-02-05T15:04:23.000Z
231.016,2018-02-05T15:04:30.000Z
231.165,2018-02-05T15:04:34.000Z
232.007,2018-02-05T15:04:45.000Z
232.065,2018-02-05T15:05:04.000Z
231.396,2018-02-05T15:05:11.000Z
231.208,2018-02-05T15:05:15.000Z
230.931,2018-02-05T15:05:41.000Z
231.893,2018-02-05T15:06:25.000Z
232.047,2018-02-05T15:06:29.000Z
231.955,2018-02-05T15:06:47.000Z
231.731,2018-02-05T15:06:51.000Z
231.778,2018-02-05T15:06:59.000Z
231.410,2018-02-05T15:07:10.000Z
231.723,2018-02-05T15:07:13.000Z
232.186,2018-02-05T15:07:21.000Z
231.952,2018-02-05T15:07:24.000Z
231.691,2018-02-05T15:07:28.000Z
231.854,2018-02-05T15:07:36.000Z
231.589,2018-02-05T15:07:43.000Z
231.398,2018-02-05T15:07:47.000Z
231.400,2018-02-05T15:07:50.000Z
231.999,2018-02-05T15:08:13.000Z
231.773,2018-02-05T15:08:16.000Z
231.831,2018-02-05T15:08:20.000Z
231.790,2018-02-05T15:08:27.000Z
231.825,2018-02-05T15:08:31.000Z
231.649,2018-02-05T15:08:35.000Z
231.694,2018-02-05T15:08:39.000Z
231.861,2018-02-05T15:08:50.000Z
232.176,2018-02-05T15:08:53.000Z
231.982,2018-02-05T15:09:01.000Z
231.848,2018-02-05T15:09:04.000Z
231.772,2018-02-05T15:09:16.000Z
232.102,2018-02-05T15:09:23.000Z
231.585,2018-02-05T15:09:34.000Z
231.586,2018-02-05T15:09:38.000Z
231.293,2018-02-05T15:09:41.000Z
231.286,2018-02-05T15:09:45.000Z
230.749,2018-02-05T15:09:52.000Z
230.474,2018-02-05T15:10:00.000Z
230.432,2018-02-05T15:10:04.000Z
230.796,2018-02-05T15:10:07.000Z
230.930,2018-02-05T15:10:11.000Z
230.568,2018-02-05T15:10:15.000Z
230.901,2018-02-05T15:10:18.000Z
231.088,2018-02-05T15:10:22.000Z
231.022,2018-02-05T15:10:30.000Z
231.042,2018-02-05T15:10:33.000Z
231.459,2018-02-05T15:10:41.000Z
231.436,2018-02-05T15:10:44.000Z
231.611,2018-02-05T15:10:48.000Z
231.530,2018-02-05T15:10:52.000Z
231.380,2018-02-05T15:10:55.000Z
230.886,2018-02-05T15:11:07.000Z
230.939,2018-02-05T15:11:10.000Z
230.905,2018-02-05T15:11:14.000Z
230.765,2018-02-05T15:11:18.000Z
230.708,2018-02-05T15:11:21.000Z
230.654,2018-02-05T15:11:32.000Z
230.402,2018-02-05T15:11:40.000Z
230.566,2018-02-05T15:11:47.000Z
230.960,2018-02-05T15:11:55.000Z
230.982,2018-02-05T15:12:06.000Z
231.303,2018-02-05T15:12:13.000Z
231.455,2018-02-05T15:12:21.000Z
231.320,2018-02-05T15:12:24.000Z
230.825,2018-02-05T15:12:50.000Z
230.752,2018-02-05T15:12:58.000Z
230.307,2018-02-05T15:13:01.000Z
230.647,2018-02-05T15:13:05.000Z
230.863,2018-02-05T15:13:09.000Z
231.452,2018-02-05T15:13:27.000Z
231.215,2018-02-05T15:13:31.000Z
231.346,2018-02-05T15:13:35.000Z
231.635,2018-02-05T15:13:42.000Z
231.379,2018-02-05T15:13:46.000Z
231.528,2018-02-05T15:13:53.000Z
