value,timestamp
20.030,2018-01-29T20:17:59.000Z
20.034,2018-01-29T20:18:03.000Z
20.062,2018-01-29T20:18:10.000Z
20.060,2018-01-29T20:18:07.000Z
20.062,2018-01-29T20:18:14.000Z
20.062,2018-01-29T20:18:18.000Z
20.030,2018-01-29T20:18:29.000Z
20.030,2018-01-29T20:18:33.000Z
20.032,2018-01-29T20:18:40.000Z
20.030,2018-01-29T20:18:36.000Z
20.032,2018-01-29T20:18:44.000Z
20.032,2018-01-29T20:18:47.000Z
20.032,2018-01-29T20:18:55.000Z
20.030,2018-01-29T20:18:59.000Z
20.030,2018-01-29T20:19:02.000Z
20.030,2018-01-29T20:19:10.000Z
20.036,2018-01-29T20:19:21.000Z
20.038,2018-01-29T20:19:24.000Z
20.032,2018-01-29T20:19:28.000Z
20.032,2018-01-29T20:19:36.000Z
20.048,2018-01-29T20:19:39.000Z
20.008,2018-01-29T20:19:47.000Z
20.030,2018-01-29T20:19:50.000Z
20.030,2018-01-29T20:19:54.000Z
20.032,2018-01-29T20:20:02.000Z
20.032,2018-01-29T20:20:19.000Z
20.032,2018-01-29T20:20:23.000Z
20.030,2018-01-29T20:20:27.000Z
20.032,2018-01-29T20:20:34.000Z
20.032,2018-01-29T20:20:38.000Z
20.032,2018-01-29T20:20:41.000Z
20.030,2018-01-29T20:20:49.000Z
20.032,2018-01-29T20:21:00.000Z
20.030,2018-01-29T20:21:04.000Z
20.062,2018-01-29T20:21:11.000Z
20.058,2018-01-29T20:21:15.000Z
20.030,2018-01-29T20:21:22.000Z
20.032,2018-01-29T20:21:48.000Z
20.034,2018-01-29T20:21:55.000Z
20.036,2018-01-29T20:21:59.000Z
20.032,2018-01-29T20:22:10.000Z
20.032,2018-01-29T20:22:14.000Z
20.032,2018-01-29T20:22:18.000Z
20.032,2018-01-29T20:22:21.000Z
20.030,2018-01-29T20:22:25.000Z
20.000,2018-01-29T20:22:32.000Z
20.006,2018-01-29T20:22:36.000Z
20.026,2018-01-29T20:22:44.000Z
20.024,2018-01-29T20:22:47.000Z
20.060,2018-01-29T20:23:02.000Z
20.062,2018-01-29T20:23:09.000Z
20.062,2018-01-29T20:23:13.000Z
20.062,2018-01-29T20:23:17.000Z
20.062,2018-01-29T20:23:21.000Z
19.988,2018-01-29T20:23:44.000Z
20.032,2018-01-29T20:23:55.000Z
20.000,2018-01-29T20:23:51.000Z
20.032,2018-01-29T20:23:59.000Z
20.030,2018-01-29T20:24:06.000Z
20.030,2018-01-29T20:24:13.000Z
20.028,2018-01-29T20:24:17.000Z
20.032,2018-01-29T20:24:36.000Z
20.032,2018-01-29T20:24:39.000Z
20.030,2018-01-29T20:24:43.000Z
20.030,2018-01-29T20:24:47.000Z
20.030,2018-01-29T20:24:51.000Z
20.012,2018-01-29T20:24:54.000Z
20.008,2018-01-29T20:24:58.000Z
20.030,2018-01-29T20:25:05.000Z
20.032,2018-01-29T20:25:09.000Z
20.030,2018-01-29T20:25:13.000Z
20.030,2018-01-29T20:25:16.000Z
20.032,2018-01-29T20:25:20.000Z
20.032,2018-01-29T20:25:24.000Z
20.032,2018-01-29T20:25:31.000Z
20.030,2018-01-29T20:25:35.000Z
20.030,2018-01-29T20:25:42.000Z
20.032,2018-01-29T20:25:46.000Z
20.030,2018-01-29T20:25:50.000Z
20.006,2018-01-29T20:25:59.000Z
20.030,2018-01-29T20:26:02.000Z
20.000,2018-01-29T20:26:10.000Z
20.030,2018-01-29T20:26:13.000Z
20.060,2018-01-29T20:26:21.000Z
20.062,2018-01-29T20:26:24.000Z
20.060,2018-01-29T20:26:28.000Z
20.048,2018-01-29T20:26:32.000Z
20.030,2018-01-29T20:26:36.000Z
20.004,2018-01-29T20:26:50.000Z
20.028,2018-01-29T20:26:54.000Z
20.000,2018-01-29T20:27:01.000Z
20.030,2018-01-29T20:27:05.000Z
20.032,2018-01-29T20:27:16.000Z
20.032,2018-01-29T20:27:20.000Z
