value,timestamp
236.303,2018-01-29T19:57:52.000Z
236.110,2018-01-29T19:58:00.000Z
235.846,2018-01-29T19:58:03.000Z
235.919,2018-01-29T19:58:07.000Z
235.793,2018-01-29T19:58:11.000Z
236.169,2018-01-29T19:58:14.000Z
236.119,2018-01-29T19:58:25.000Z
236.601,2018-01-29T19:58:36.000Z
236.771,2018-01-29T19:58:47.000Z
236.625,2018-01-29T19:58:51.000Z
237.025,2018-01-29T19:58:55.000Z
236.888,2018-01-29T19:58:58.000Z
237.072,2018-01-29T19:59:09.000Z
236.844,2018-01-29T19:59:13.000Z
236.718,2018-01-29T19:59:28.000Z
236.975,2018-01-29T19:59:42.000Z
236.900,2018-01-29T19:59:50.000Z
236.491,2018-01-29T19:59:57.000Z
236.926,2018-01-29T20:00:01.000Z
236.895,2018-01-29T20:00:11.000Z
236.956,2018-01-29T20:00:15.000Z
237.020,2018-01-29T20:00:22.000Z
236.937,2018-01-29T20:00:26.000Z
237.137,2018-01-29T20:00:30.000Z
237.101,2018-01-29T20:00:37.000Z
237.291,2018-01-29T20:00:44.000Z
237.167,2018-01-29T20:00:48.000Z
237.267,2018-01-29T20:00:52.000Z
237.197,2018-01-29T20:00:55.000Z
236.957,2018-01-29T20:00:59.000Z
236.572,2018-01-29T20:01:10.000Z
236.354,2018-01-29T20:01:21.000Z
236.298,2018-01-29T20:01:28.000Z
235.784,2018-01-29T20:01:39.000Z
236.290,2018-01-29T20:01:36.000Z
235.742,2018-01-29T20:01:43.000Z
236.473,2018-01-29T20:01:50.000Z
236.655,2018-01-29T20:01:58.000Z
236.619,2018-01-29T20:02:01.000Z
236.505,2018-01-29T20:02:09.000Z
236.265,2018-01-29T20:02:12.000Z
236.230,2018-01-29T20:02:16.000Z
236.577,2018-01-29T20:02:20.000Z
236.717,2018-01-29T20:02:23.000Z
236.683,2018-01-29T20:02:27.000Z
236.578,2018-01-29T20:02:31.000Z
236.496,2018-01-29T20:02:34.000Z
236.322,2018-01-29T20:02:42.000Z
236.285,2018-01-29T20:02:49.000Z
236.569,2018-01-29T20:02:56.000Z
236.515,2018-01-29T20:02:53.000Z
236.182,2018-01-29T20:03:04.000Z
237.481,2018-01-29T20:03:18.000Z
236.686,2018-01-29T20:03:29.000Z
236.925,2018-01-29T20:03:33.000Z
237.319,2018-01-29T20:03:44.000Z
237.174,2018-01-29T20:03:48.000Z
237.034,2018-01-29T20:04:02.000Z
237.014,2018-01-29T20:04:13.000Z
236.973,2018-01-29T20:04:17.000Z
236.954,2018-01-29T20:04:20.000Z
236.772,2018-01-29T20:04:24.000Z
236.789,2018-01-29T20:04:28.000Z
236.870,2018-01-29T20:04:31.000Z
237.019,2018-01-29T20:04:39.000Z
237.154,2018-01-29T20:04:42.000Z
237.331,2018-01-29T20:04:46.000Z
237.595,2018-01-29T20:04:50.000Z
237.390,2018-01-29T20:04:57.000Z
237.064,2018-01-29T20:05:04.000Z
237.113,2018-01-29T20:05:12.000Z
236.992,2018-01-29T20:05:26.000Z
237.062,2018-01-29T20:05:34.000Z
237.135,2018-01-29T20:05:30.000Z
237.143,2018-01-29T20:05:37.000Z
237.073,2018-01-29T20:05:45.000Z
236.886,2018-01-29T20:05:52.000Z
236.942,2018-01-29T20:05:59.000Z
236.948,2018-01-29T20:05:56.000Z
237.029,2018-01-29T20:06:03.000Z
237.002,2018-01-29T20:06:10.000Z
236.877,2018-01-29T20:06:14.000Z
236.985,2018-01-29T20:06:21.000Z
236.877,2018-01-29T20:06:25.000Z
236.543,2018-01-29T20:06:32.000Z
236.520,2018-01-29T20:06:36.000Z
236.974,2018-01-29T20:06:54.000Z
237.013,2018-01-29T20:06:51.000Z
236.875,2018-01-29T20:07:05.000Z
236.955,2018-01-29T20:07:09.000Z
237.091,2018-01-29T20:07:13.000Z
237.212,2018-01-29T20:07:16.000Z
237.559,2018-01-29T20:07:24.000Z
237.336,2018-01-29T20:07:31.000Z
237.265,2018-01-29T20:07:35.000Z
237.060,2018-01-29T20:07:46.000Z
236.814,2018-01-29T20:07:53.000Z
236.842,2018-01-29T20:08:00.000Z
236.564,2018-01-29T20:08:04.000Z
236.480,2018-01-29T20:08:22.000Z
236.895,2018-01-29T20:08:30.000Z
237.094,2018-01-29T20:08:33.000Z
237.205,2018-01-29T20:08:37.000Z
237.215,2018-01-29T20:08:41.000Z
237.406,2018-01-29T20:08:44.000Z
237.403,2018-01-29T20:08:48.000Z
237.292,2018-01-29T20:08:52.000Z
237.558,2018-01-29T20:08:55.000Z
237.356,2018-01-29T20:08:59.000Z
